स्थिति,सूत्र
गतसङ्गस्य मुक्तस्य,-
मुक्तस्य ज्ञानावस्थितचेतसस्,-
ज्ञानावस्थितचेतसस्,-
ज्ञानावस्थितचेतसरुँ,[[ससजुषो रुः (8.2.66)]]
ज्ञानावस्थितचेतसर्,[[तस्य लोपः (1.3.9)]]
ज्ञानावस्थितचेतसः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
यज्ञाय आचरतस्,-
यज्ञायाचरतस्,[[अकः सवर्णे दीर्घः (6.1.101)]]
यज्ञायाचरतस् कर्म,-
यज्ञायाचरतरुँ कर्म,[[ससजुषो रुः (8.2.66)]]
यज्ञायाचरतर् कर्म,[[तस्य लोपः (1.3.9)]]
यज्ञायाचरतः कर्म,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
यज्ञायाचरतः कर्म,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
कर्म समग्रम्,-
समग्रम् प्रविलीयते,-
समग्रं प्रविलीयते,[[मोऽनुस्वारः (8.3.23)]]
प्रविलीयते,-
