पद समूह,सूत्राणि,संधि-कृत रूप
अथ च,-,अथ च
च एनम्,- [[वृद्धिरेचि (6.1.88)]],चैनम्
चैनम् नित्यजातम्,- [[मोऽनुस्वारः (8.3.23)]],चैनं नित्यजातम्
नित्यजातम् नित्यम्,- [[मोऽनुस्वारः (8.3.23)]],नित्यजातं नित्यम्
नित्यम् वा,- [[मोऽनुस्वारः (8.3.23)]],नित्यं वा
वा मन्यसे,-,वा मन्यसे
मन्यसे मृतम्,-,मन्यसे मृतम्
मृतम्,-,मृतम्
तथा अपि,- [[अकः सवर्णे दीर्घः (6.1.101)]],तथापि
तथापि त्वम्,-,तथापि त्वम्
त्वम् महाबाहो,- [[मोऽनुस्वारः (8.3.23)]],त्वं महाबाहो
महाबाहो न,-,महाबाहो न
न एवम्,- [[वृद्धिरेचि (6.1.88)]],नैवम्
नैवम् शोचितुमर्हसि,- [[मोऽनुस्वारः (8.3.23)]],नैवं शोचितुमर्हसि
शोचितुमर्हसि,-,शोचितुमर्हसि
